site_no_USGS,datetime,Gauge_Height(Ft)
3435000,2015-01-22,361.18
3435000,2015-01-22,361.17
3435000,2015-01-22,361.18
3435000,2015-01-22,361.17
3435000,2015-01-22,361.16
3435000,2015-01-22,361.18
3435000,2015-01-22,361.2
3435000,2015-01-22,361.25
3435000,2015-01-22,361.23
3435000,2015-01-22,361.18
3435000,2015-01-22,361.06
3435000,2015-01-22,361.03
3435000,2015-01-22,361.04
3435000,2015-01-22,361.04
3435000,2015-01-22,361.02
3435000,2015-01-22,361.01
3435000,2015-01-22,360.98
3435000,2015-01-22,360.98
3435000,2015-01-22,360.98
3435000,2015-01-22,360.95
3435000,2015-01-22,360.95
3435000,2015-01-22,360.95
3435000,2015-01-22,360.93
3435000,2015-01-22,360.93
3435000,2015-01-22,360.92
3435000,2015-01-22,360.92
3435000,2015-01-22,360.92
3435000,2015-01-22,360.9
3435000,2015-01-22,360.9
3435000,2015-01-22,360.89
3435000,2015-01-23,360.9
3435000,2015-01-23,360.89
3435000,2015-01-23,360.95
3435000,2015-01-23,360.91
3435000,2015-01-23,360.89
3435000,2015-01-23,360.9
3435000,2015-01-23,360.9
3435000,2015-01-23,360.89
3435000,2015-01-23,360.89
3435000,2015-01-23,360.91
3435000,2015-01-23,360.9
3435000,2015-01-23,360.89
3435000,2015-01-23,360.88
3435000,2015-01-23,360.91
3435000,2015-01-23,360.9
3435000,2015-01-23,360.87
3435000,2015-01-23,360.87
3435000,2015-01-23,360.91
3435000,2015-01-23,360.99
3435000,2015-01-23,360.93
3435000,2015-01-23,360.93
3435000,2015-01-23,360.92
3435000,2015-01-23,360.91
3435000,2015-01-23,360.9
3435000,2015-01-23,360.89
3435000,2015-01-23,360.89
3435000,2015-01-23,360.89
3435000,2015-01-23,360.88
3435000,2015-01-23,360.9
3435000,2015-01-23,360.91
3435000,2015-01-23,360.89
3435000,2015-01-23,360.89
3435000,2015-01-23,360.9
3435000,2015-01-23,360.89
3435000,2015-01-23,360.91
3435000,2015-01-23,360.89
3435000,2015-01-23,360.91
3435000,2015-01-23,360.89
3435000,2015-01-23,360.91
3435000,2015-01-23,360.9
3435000,2015-01-23,360.89
3435000,2015-01-23,360.89
3435000,2015-01-23,360.89
3435000,2015-01-23,360.89
3435000,2015-01-23,360.91
3435000,2015-01-23,360.89
3435000,2015-01-23,360.88
3435000,2015-01-24,360.88
3435000,2015-01-24,360.87
3435000,2015-01-24,360.87
3435000,2015-01-24,360.87
3435000,2015-01-24,360.87
3435000,2015-01-24,360.86
3435000,2015-01-24,360.85
3435000,2015-01-24,360.85
3435000,2015-01-24,360.83
3435000,2015-01-24,360.84
3435000,2015-01-24,360.84
3435000,2015-01-24,360.84
3435000,2015-01-24,360.82
3435000,2015-01-24,360.8
3435000,2015-01-24,360.81
3435000,2015-01-24,360.81
3435000,2015-01-24,360.81
3435000,2015-01-24,360.81
3435000,2015-01-24,360.82
3435000,2015-01-24,360.82
3435000,2015-01-24,360.82
3435000,2015-01-24,360.83
3435000,2015-01-24,360.85
3435000,2015-01-24,360.87
3435000,2015-01-24,360.86
3435000,2015-01-24,360.79
3435000,2015-01-24,360.62
3435000,2015-01-24,360.43
3435000,2015-01-24,360.32
3435000,2015-01-24,360.26
3435000,2015-01-24,360.21
3435000,2015-01-24,360.19
3435000,2015-01-24,360.15
3435000,2015-01-24,360.1
3435000,2015-01-24,360.08
3435000,2015-01-24,360.06
3435000,2015-01-24,360.11
3435000,2015-01-24,360.1
3435000,2015-01-24,360.06
3435000,2015-01-24,360.03
3435000,2015-01-24,360.02
3435000,2015-01-24,360
3435000,2015-01-24,359.99
3435000,2015-01-24,359.98
3435000,2015-01-24,359.97
3435000,2015-01-24,359.96
3435000,2015-01-24,359.97
3435000,2015-01-25,359.98
3435000,2015-01-25,359.98
3435000,2015-01-25,359.95
3435000,2015-01-25,359.95
3435000,2015-01-25,359.94
3435000,2015-01-25,359.93
3435000,2015-01-25,359.92
3435000,2015-01-25,359.92
3435000,2015-01-25,359.92
3435000,2015-01-25,359.92
3435000,2015-01-25,359.92
3435000,2015-01-25,359.9
3435000,2015-01-25,359.9
3435000,2015-01-25,359.92
3435000,2015-01-25,359.95
3435000,2015-01-25,360.03
3435000,2015-01-25,359.88
3435000,2015-01-25,359.89
3435000,2015-01-25,359.88
3435000,2015-01-25,359.94
3435000,2015-01-25,359.94
3435000,2015-01-25,359.91
3435000,2015-01-25,359.94
3435000,2015-01-25,359.95
3435000,2015-01-25,359.95
3435000,2015-01-25,359.97
3435000,2015-01-25,359.93
3435000,2015-01-25,359.92
3435000,2015-01-25,360
3435000,2015-01-25,359.96
3435000,2015-01-25,360
3435000,2015-01-25,359.97
3435000,2015-01-25,359.95
3435000,2015-01-25,359.95
3435000,2015-01-25,359.95
3435000,2015-01-25,359.95
3435000,2015-01-25,359.94
3435000,2015-01-25,359.96
3435000,2015-01-25,359.96
3435000,2015-01-25,359.95
3435000,2015-01-25,359.94
3435000,2015-01-25,359.95
3435000,2015-01-25,359.96
3435000,2015-01-25,359.96
3435000,2015-01-25,359.96
3435000,2015-01-25,360.04
3435000,2015-01-25,360.07
3435000,2015-01-26,360.03
3435000,2015-01-26,360.06
3435000,2015-01-26,360.06
3435000,2015-01-26,360.04
3435000,2015-01-26,360.08
3435000,2015-01-26,360.08
3435000,2015-01-26,360.08
3435000,2015-01-26,360.07
3435000,2015-01-26,360.08
3435000,2015-01-26,360.09
3435000,2015-01-26,360.11
3435000,2015-01-26,360.1
3435000,2015-01-26,360.14
3435000,2015-01-26,360.21
3435000,2015-01-26,360.02
3435000,2015-01-26,359.96
3435000,2015-01-26,359.91
3435000,2015-01-26,359.85
3435000,2015-01-26,359.84
3435000,2015-01-26,359.79
3435000,2015-01-26,359.76
3435000,2015-01-26,359.74
