USGS_site_no,datetime,Discharge_cubicFt
3431800,2015-01-21,76.9
3431800,2015-01-22,72.3
3431800,2015-01-23,74.3
3431800,2015-01-24,90.3
3431800,2015-01-25,89.9
3431800,2015-01-26,107
3431800,2015-01-27,107
3431800,2015-01-28,97.5
3431800,2015-01-29,91.4
3431800,2015-01-30,86.1
3431800,2015-01-31,79.6
3431800,2015-02-01,91.7
3431800,2015-02-02,252
3431800,2015-02-03,179
3431800,2015-02-04,146
3431800,2015-02-05,124
3431800,2015-02-06,107
3431800,2015-02-07,102
3431800,2015-02-08,97.2
3431800,2015-02-09,91.9
3431800,2015-02-10,84.8
3431800,2015-02-11,79.4
3431800,2015-02-12,74.6
3431800,2015-02-13,70.3
3431800,2015-02-14,68.7
3431800,2015-02-15,65.8
3431800,2015-02-16,73.3
3431800,2015-02-17,73.1
3431800,2015-02-18,69.8
3431800,2015-02-19,74
3431800,2015-02-20,73
3431800,2015-02-21,2620
3431800,2015-02-22,1590
3431800,2015-02-23,652
3431800,2015-02-24,406
3431800,2015-02-25,307
3431800,2015-02-26,258
3431800,2015-02-27,235
3431800,2015-02-28,199
3431800,2015-03-01,212
3431800,2015-03-02,324
3431800,2015-03-03,305
3431800,2015-03-04,1190
3431800,2015-03-05,1280
3431800,2015-03-06,561
3431800,2015-03-07,474
3431800,2015-03-08,520
3431800,2015-03-09,414
3431800,2015-03-10,680
3431800,2015-03-11,708
3431800,2015-03-12,454
3431800,2015-03-13,470
3431800,2015-03-14,854
3431800,2015-03-15,527
3431800,2015-03-16,378
3431800,2015-03-17,306
3431800,2015-03-18,250
3431800,2015-03-19,227
3431800,2015-03-20,212
3431800,2015-03-21,193
3431800,2015-03-22,179
3431800,2015-03-23,170
3431800,2015-03-24,160
3431800,2015-03-25,153
3431800,2015-03-26,153
3431800,2015-03-27,145
3431800,2015-03-28,137
3431800,2015-03-29,133
3431800,2015-03-30,132
3431800,2015-03-31,128
3431800,2015-04-01,130
3431800,2015-04-02,130
3431800,2015-04-03,146
3431800,2015-04-04,174
3431800,2015-04-05,147
3431800,2015-04-06,145
3431800,2015-04-07,167
3431800,2015-04-08,164
3431800,2015-04-09,153
3431800,2015-04-10,177
3431800,2015-04-11,178
3431800,2015-04-12,159
3431800,2015-04-13,155
3431800,2015-04-14,1680
3431800,2015-04-15,707
3431800,2015-04-16,683
3431800,2015-04-17,538
3431800,2015-04-18,372
3431800,2015-04-19,1380
3431800,2015-04-20,1180
3431800,2015-04-21,430
3431800,2015-04-22,243
3431800,2015-04-23,170
3431800,2015-04-24,133
3431800,2015-04-25,119
3431800,2015-04-26,116
3431800,2015-04-27,99.2
3431800,2015-04-28,86.7
3431800,2015-04-29,80.9
3431800,2015-04-30,76.4
3431800,2015-05-01,71.7
3431800,2015-05-02,67.5
3431800,2015-05-03,64.8
3431800,2015-05-04,62.1
3431800,2015-05-05,60.1
3431800,2015-05-06,57.9
3431800,2015-05-07,56.3
3431800,2015-05-08,54.2
3431800,2015-05-09,53.5
3431800,2015-05-10,51.3
3431800,2015-05-11,49.2
3431800,2015-05-12,48
3431800,2015-05-13,45.8
3431800,2015-05-14,45.3
3431800,2015-05-15,45.4
3431800,2015-05-16,49.2
3431800,2015-05-17,55.5
3431800,2015-05-18,117
3431800,2015-05-19,95.4
3431800,2015-05-20,68.2
3431800,2015-05-21,59
3431800,2015-05-22,54.9
3431800,2015-05-23,51.9
3431800,2015-05-24,49.4
3431800,2015-05-25,97.5
3431800,2015-05-26,101
3431800,2015-05-27,95.6
3431800,2015-05-28,79.4
3431800,2015-05-29,67.7
3431800,2015-05-30,64.1
3431800,2015-05-31,107
3431800,2015-06-01,114
3431800,2015-06-02,110
3431800,2015-06-03,85.9
3431800,2015-06-04,72
3431800,2015-06-05,66.6
3431800,2015-06-06,57.9
3431800,2015-06-07,53.3
3431800,2015-06-08,297
3431800,2015-06-09,328
3431800,2015-06-10,131
3431800,2015-06-11,95.7
3431800,2015-06-12,74.6
3431800,2015-06-13,65.5
3431800,2015-06-14,60.3
3431800,2015-06-15,55
3431800,2015-06-16,51.3
3431800,2015-06-17,48.4
3431800,2015-06-18,46.9
3431800,2015-06-19,47.6
3431800,2015-06-20,51.6
3431800,2015-06-21,50.1
3431800,2015-06-22,43.6
3431800,2015-06-23,40.9
3431800,2015-06-24,39.1
3431800,2015-06-25,38
3431800,2015-06-26,37.4
3431800,2015-06-27,42.8
3431800,2015-06-28,40.7
3431800,2015-06-29,37.3
3431800,2015-06-30,44.4
3431800,2015-07-01,46.3
3431800,2015-07-02,89.4
3431800,2015-07-03,106
3431800,2015-07-04,80
3431800,2015-07-05,117
3431800,2015-07-06,79.5
3431800,2015-07-07,66.9
3431800,2015-07-08,143
3431800,2015-07-09,92.7
3431800,2015-07-10,68.4
3431800,2015-07-11,56.6
3431800,2015-07-12,49.9
3431800,2015-07-13,45.1
3431800,2015-07-14,40.8
3431800,2015-07-15,40.9
3431800,2015-07-16,37.7
3431800,2015-07-17,34.9
3431800,2015-07-18,32.9
3431800,2015-07-19,30.7
3431800,2015-07-20,30.1
3431800,2015-07-21,34.5
3431800,2015-07-22,38
3431800,2015-07-23,42
3431800,2015-07-24,44.2
3431800,2015-07-25,34
3431800,2015-07-26,31.2
3431800,2015-07-27,28.8
3431800,2015-07-28,40
3431800,2015-07-29,67.4
3431800,2015-07-30,37.3
3431800,2015-07-31,30.1
3431800,2015-08-01,26.9
3431800,2015-08-02,24.8
3431800,2015-08-03,23.6
3431800,2015-08-04,22.4
3431800,2015-08-05,21.7
3431800,2015-08-06,32.7
3431800,2015-08-07,36.4
3431800,2015-08-08,28.5
3431800,2015-08-09,25.3
3431800,2015-08-10,23
3431800,2015-08-11,22.3
3431800,2015-08-12,21
3431800,2015-08-13,19.6
3431800,2015-08-14,18.5
3431800,2015-08-15,19.4
3431800,2015-08-16,20.3
3431800,2015-08-17,21.3
3431800,2015-08-18,21.6
3431800,2015-08-19,25.9
3431800,2015-08-20,36.8
3431800,2015-08-21,27.2
3431800,2015-08-22,22.3
3431800,2015-08-23,32.3
3431800,2015-08-24,29.6
